,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,Popo_Density_Per_Hector
33,"Census Tract 4523, Baltimore County, Maryland",3054.00,1046.00,715.00,20.80,31.60,2.92,3.46,8.20,0.00,0.00,0.00,18.80,3.90,83.20,0.00,75.90,27.40,9.60,6.80,11.60,23.90,21.80,1.30,12.40,0.00,1.10,13.80,10.40,6.40,75256.00,35.20,7.60,26.40,9.40,30295.00,38652.00,22692.00,42.30,42.30,24.40,11.90,0.00,9.70,1194.00,87.60,2.10,0.00,1194.00,24,005,452300,1.40,0.00,1.40,0.00,1046.00,57.10,449.00,2.41,1.40,34.90,52.90,31.00,10.60,0.00,1093.00,1170.00,3.00,15.10,1.10,0.00,85.40,3054.00,231,2,0.0756385068762279
34,"Census Tract 4024.04, Baltimore County, Maryland",5368.00,2183.00,1408.00,30.50,35.50,2.46,3.01,6.50,20.00,0.00,59.20,7.70,3.90,86.40,0.80,85.50,17.30,2.00,3.90,26.10,25.90,17.20,7.50,9.40,0.00,9.60,10.50,17.30,3.00,58426.00,30.10,4.00,26.60,3.40,35985.00,41529.00,48866.00,57.90,57.90,5.00,12.30,0.00,26.60,2338.00,93.40,0.00,6.10,2338.00,24,005,402404,8.10,0.00,3.80,0.20,2183.00,42.80,1248.00,2.48,5.40,26.70,1.90,27.90,24.20,0.00,1390.00,1117.00,4.90,18.90,0.50,0.00,11.30,5368.00,169,1,0.03148286140089419
35,"Census Tract 4211.02, Baltimore County, Maryland",2597.00,979.00,639.00,17.70,34.70,2.65,3.15,9.30,0.00,7.20,0.00,9.00,6.90,94.60,0.90,92.10,2.90,16.40,5.70,34.00,16.50,12.10,5.30,7.20,0.00,5.10,9.00,16.90,1.30,71507.00,41.00,0.90,12.30,1.10,37214.00,54612.00,43304.00,62.80,62.80,4.00,12.70,15.60,39.10,1070.00,91.50,4.80,0.00,1070.00,24,005,421102,4.60,3.60,0.70,0.00,979.00,77.30,222.00,2.61,2.50,25.70,15.70,35.10,29.20,0.00,1261.00,1300.00,4.50,22.30,0.80,0.30,89.70,2597.00,213,1,0.08201771274547555
36,"Census Tract 4308, Baltimore County, Maryland",3476.00,1391.00,866.00,11.90,37.70,2.50,3.13,6.90,78.00,0.00,0.00,4.50,7.00,84.00,1.60,88.90,12.30,21.00,5.30,46.80,10.70,4.30,13.20,11.60,0.00,4.10,3.30,9.10,4.50,91922.00,31.70,1.20,3.00,6.10,48095.00,58343.00,54317.00,82.60,82.60,3.60,1.70,0.00,0.00,1477.00,94.20,0.00,0.00,1477.00,24,005,430800,1.50,0.00,0.00,0.40,1391.00,79.60,284.00,2.56,3.40,23.80,0.50,2.70,31.70,0.50,1637.00,1109.00,7.10,19.10,2.60,5.70,90.40,3476.00,136,1,0.039125431530494824
37,"Census Tract 4518.02, Baltimore County, Maryland",3912.00,1704.00,1070.00,8.60,37.20,2.30,2.86,5.50,0.00,0.00,11.30,8.30,8.80,88.40,0.00,93.30,5.50,23.30,6.50,37.60,9.80,14.50,7.00,13.50,0.00,4.80,10.10,15.90,11.70,96937.00,39.40,4.50,9.00,15.30,42467.00,57000.00,51122.00,69.90,69.90,4.10,6.40,52.60,57.00,1788.00,95.30,0.00,0.00,1788.00,24,005,451802,0.00,1.50,0.50,2.00,1704.00,79.50,350.00,2.27,5.10,35.60,13.70,3.50,1.30,27.20,2338.00,928.00,4.00,33.20,0.90,0.70,93.50,3912.00,1094,1,0.2796523517382413
38,"Census Tract 4034.02, Baltimore County, Maryland",5622.00,2138.00,1263.00,19.30,40.90,2.59,3.12,12.90,0.00,0.00,0.00,3.70,5.70,85.00,0.00,87.90,20.60,5.00,8.70,36.10,23.70,13.60,6.30,12.20,0.00,8.70,7.40,8.90,4.40,81967.00,38.40,4.50,21.30,6.70,33299.00,52580.00,41279.00,65.40,65.40,2.70,13.70,22.90,5.90,2179.00,98.10,3.10,0.00,2179.00,24,005,403402,34.60,0.00,0.80,0.00,2138.00,59.00,877.00,2.70,2.50,21.90,18.60,19.00,20.40,1.20,1387.00,947.00,5.80,25.30,0.20,0.60,51.30,5622.00,358,53,0.06367840626111704
39,"Census Tract 4925, Baltimore County, Maryland",2917.00,16.00,12.00,0.00,25.00,4.88,5.83,5.10,0.00,0.00,0.00,8.00,1.90,73.20,0.70,89.90,14.10,6.10,7.50,29.80,30.40,8.40,3.30,3.10,0.00,0.00,0.00,50.00,25.00,126356.00,0.00,0.00,25.00,33.30,3625.00,-666666666.00,12917.00,84.80,84.80,9.50,0.00,-666666666.00,-666666666.00,16.00,100.00,0.00,-666666666.00,16.00,24,005,492500,0.00,0.00,0.00,0.00,16.00,100.00,0.00,4.88,0.00,0.00,0.00,0.00,0.00,25.00,2000.00,-666666666.00,0.30,2.50,1.20,1.10,67.00,2917.00,263,1,0.0901611244429208
40,"Census Tract 4012, Baltimore County, Maryland",3061.00,1123.00,792.00,18.20,29.50,2.72,3.18,6.40,56.00,0.00,21.70,6.20,6.30,92.30,0.00,89.70,9.70,4.10,6.80,40.80,18.90,8.30,4.00,9.90,0.00,6.40,6.10,14.30,4.80,91243.00,25.50,0.90,10.10,5.20,41575.00,63261.00,53821.00,73.60,73.60,5.40,10.70,32.30,51.10,1260.00,89.10,8.40,13.80,1260.00,24,005,401200,1.10,1.10,0.00,0.00,1123.00,88.90,125.00,2.71,3.00,28.90,2.80,9.80,38.90,2.60,1356.00,1125.00,4.90,19.50,0.60,0.00,21.20,3061.00,195,9,0.0637046716759229
41,"Census Tract 4013.02, Baltimore County, Maryland",2745.00,1288.00,670.00,23.10,48.00,2.13,2.94,5.70,79.00,0.00,18.20,4.50,10.10,89.90,0.00,89.50,8.30,1.50,5.90,34.20,28.40,4.60,5.40,10.30,0.00,8.50,7.80,9.40,3.40,65525.00,27.30,1.60,12.20,6.60,40230.00,58783.00,46080.00,77.40,77.40,4.60,1.80,0.00,0.00,1381.00,93.30,0.00,13.00,1381.00,24,005,401302,12.40,0.00,2.50,0.00,1288.00,56.40,562.00,2.47,2.60,37.70,7.90,36.90,26.60,0.00,1438.00,973.00,5.50,18.50,1.50,0.00,12.30,2745.00,59,9,0.021493624772313296
42,"Census Tract 4210, Baltimore County, Maryland",1814.00,870.00,376.00,11.50,56.80,2.09,3.18,6.90,0.00,43.50,0.00,16.80,4.10,88.20,0.00,94.20,11.50,18.90,9.20,13.00,20.20,11.70,5.70,8.50,0.00,20.00,18.20,8.50,0.00,55186.00,47.10,2.40,35.40,0.00,31161.00,41447.00,37708.00,52.20,52.20,4.50,11.20,0.00,28.80,957.00,90.90,1.40,7.20,957.00,24,005,421000,30.70,0.00,0.50,6.20,870.00,32.90,584.00,2.43,9.30,29.90,40.20,27.60,15.40,0.00,1179.00,802.00,3.60,25.60,0.30,0.40,86.10,1814.00,39,4,0.021499448732083794
43,"Census Tract 4301.01, Baltimore County, Maryland",4984.00,1489.00,1107.00,20.10,25.70,3.35,3.76,8.80,112.00,4.20,14.60,15.50,4.00,80.00,3.30,71.30,41.40,6.60,6.60,19.30,33.00,10.50,6.30,17.40,0.00,6.40,12.10,6.00,6.50,68141.00,15.10,7.10,19.30,8.10,24567.00,40810.00,32206.00,42.50,42.50,16.70,16.70,11.90,31.70,1670.00,89.20,0.00,11.00,1670.00,24,005,430101,3.10,1.10,0.80,0.00,1489.00,21.00,1176.00,3.23,6.30,20.10,13.70,42.20,26.50,0.00,1310.00,1118.00,12.70,7.10,2.60,1.00,49.70,4984.00,146,8,0.029293739967897272
44,"Census Tract 4404, Baltimore County, Maryland",5362.00,1905.00,1302.00,16.50,31.70,2.80,3.45,4.60,17.00,0.00,45.00,2.90,7.10,93.70,0.00,88.30,18.10,9.70,3.20,38.20,18.40,11.20,7.10,15.30,0.00,1.00,4.90,20.10,2.90,79668.00,35.40,2.80,6.60,4.20,43293.00,56434.00,48989.00,73.40,73.40,7.20,4.40,21.20,34.50,2009.00,94.80,0.00,9.30,2009.00,24,005,440400,0.00,0.00,0.00,0.60,1905.00,77.90,421.00,2.86,3.60,37.30,6.80,15.00,32.50,1.00,1557.00,1103.00,4.80,22.00,1.40,0.00,62.90,5362.00,267,9,0.04979485266691533
45,"Census Tract 4007.02, Baltimore County, Maryland",2002.00,614.00,392.00,15.50,36.20,3.07,3.97,5.50,0.00,0.00,22.20,2.50,8.10,91.30,0.50,95.70,6.60,17.10,1.90,49.80,12.50,11.50,3.90,5.60,0.90,0.50,7.70,12.70,5.40,102171.00,19.90,1.00,3.10,4.60,47931.00,70750.00,55729.00,81.70,81.70,6.00,7.70,0.00,60.00,683.00,89.90,0.00,11.30,683.00,24,005,400702,0.00,0.00,0.00,0.00,614.00,80.80,118.00,3.16,3.40,30.30,1.60,10.30,21.20,0.00,1593.00,1194.00,9.80,14.60,4.60,1.40,76.10,2002.00,70,2,0.03496503496503497
46,"Census Tract 4023.07, Baltimore County, Maryland",6261.00,2389.00,1531.00,35.50,35.90,2.57,3.12,8.20,18.00,16.30,10.80,4.00,9.30,78.50,0.30,76.00,7.60,0.00,3.80,40.90,22.90,13.00,3.60,8.90,0.60,5.00,9.90,11.60,0.80,66580.00,21.00,7.90,12.30,1.20,35496.00,42306.00,44488.00,71.90,71.90,1.70,8.60,0.00,18.60,2638.00,90.60,0.00,12.90,2638.00,24,005,402307,5.30,2.80,1.50,2.30,2389.00,29.40,1687.00,2.73,7.80,13.70,1.90,11.10,35.00,0.00,1491.00,1401.00,7.40,12.50,0.00,0.00,7.60,6261.00,222,1,0.03545759463344514
47,"Census Tract 4921.02, Baltimore County, Maryland",2139.00,802.00,485.00,11.00,39.50,2.66,3.40,7.80,89.00,0.00,39.10,8.60,6.10,90.20,0.00,85.90,17.60,11.90,6.30,31.90,7.80,18.10,6.90,7.70,0.00,1.70,3.90,16.80,3.00,94349.00,27.30,0.50,6.50,4.90,47301.00,52321.00,54240.00,68.80,68.80,8.80,0.80,0.00,0.00,881.00,91.00,1.80,20.00,881.00,24,005,492102,0.00,0.00,0.00,0.00,802.00,92.50,60.00,2.73,2.50,34.30,2.30,5.90,28.30,0.50,1737.00,883.00,5.20,16.00,0.20,0.00,84.60,2139.00,94,6,0.04394576905095839
48,"Census Tract 4024.03, Baltimore County, Maryland",2034.00,842.00,522.00,20.30,38.00,2.41,3.16,3.00,0.00,25.30,13.30,7.60,8.10,95.20,0.30,91.10,5.00,1.10,5.30,31.50,22.20,9.70,5.10,15.20,0.00,9.60,6.10,19.20,2.10,66345.00,40.50,3.20,11.30,2.50,35815.00,46696.00,60893.00,76.40,76.40,4.00,6.10,0.00,28.40,892.00,94.40,0.00,0.00,892.00,24,005,402403,0.00,0.00,0.00,0.00,842.00,92.60,62.00,2.47,0.00,31.00,3.60,25.80,39.40,1.20,1529.00,900.00,0.60,30.50,0.30,0.00,6.50,2034.00,204,1,0.10029498525073746
49,"Census Tract 4025.04, Baltimore County, Maryland",4596.00,1523.00,1145.00,12.30,24.80,3.02,3.60,2.10,0.00,0.00,32.50,2.80,7.20,91.50,0.40,87.00,12.30,1.70,4.10,45.20,15.70,11.60,5.10,12.50,0.00,2.80,4.30,16.40,9.60,108860.00,36.60,1.40,9.50,12.80,44375.00,65288.00,50927.00,79.70,79.70,1.10,7.30,0.00,31.80,1603.00,95.00,5.60,0.00,1603.00,24,005,402504,3.50,3.60,0.00,0.00,1523.00,88.80,170.00,3.07,3.40,32.40,0.00,0.80,11.50,15.70,2066.00,1177.00,6.20,24.10,1.00,2.10,11.40,4596.00,796,1,0.1731940818102698
50,"Census Tract 4406, Baltimore County, Maryland",2259.00,762.00,616.00,5.50,19.20,2.96,3.24,5.10,0.00,22.60,11.30,6.40,5.60,95.50,0.00,80.50,18.90,16.20,4.10,41.00,20.00,5.70,10.80,10.40,0.00,1.00,1.60,11.80,13.60,123834.00,35.30,0.50,1.40,15.10,50668.00,72045.00,51859.00,86.10,86.10,1.80,2.60,0.00,0.00,778.00,97.90,1.50,0.00,778.00,24,005,440600,0.00,4.10,0.00,0.00,762.00,93.80,47.00,2.97,1.00,47.60,0.00,0.00,5.60,7.30,2369.00,1339.00,5.60,20.80,0.80,0.40,69.90,2259.00,612,2,0.27091633466135456
51,"Census Tract 4906.02, Baltimore County, Maryland",2949.00,1237.00,779.00,10.70,37.00,2.38,3.03,4.30,25.00,0.00,0.00,0.00,4.30,85.70,0.30,90.70,11.00,24.70,3.20,68.90,11.70,7.00,11.80,16.90,0.00,4.40,5.20,12.60,10.80,102509.00,13.90,0.00,0.00,14.40,54793.00,81806.00,57875.00,93.80,93.80,2.50,6.90,5.90,8.70,1354.00,91.40,0.00,9.10,1354.00,24,005,490602,0.50,0.00,1.80,0.70,1237.00,59.80,497.00,2.72,7.50,29.30,0.00,0.70,0.00,3.80,1968.00,1340.00,8.80,10.30,0.00,2.70,90.50,2949.00,78,1,0.026449643947100712
52,"Census Tract 4013.01, Baltimore County, Maryland",3913.00,1413.00,924.00,28.50,34.60,2.77,3.41,6.90,81.00,8.90,5.70,12.20,6.90,93.50,0.00,85.10,10.90,2.60,13.90,26.70,31.10,6.60,4.00,19.90,0.60,4.00,3.50,11.30,1.70,64068.00,28.20,7.50,11.10,2.60,31940.00,49226.00,40000.00,56.80,56.80,8.50,8.50,0.00,9.60,1523.00,92.80,3.20,9.70,1523.00,24,005,401301,0.00,0.00,0.00,0.60,1413.00,71.00,410.00,2.75,0.00,31.50,2.20,31.40,45.20,1.10,1303.00,1398.00,4.30,18.90,0.50,0.00,11.80,3913.00,115,3,0.029389215435727065
53,"Census Tract 8602, Calvert County, Maryland",6087.00,2014.00,1734.00,11.30,13.90,3.02,3.24,3.00,0.00,0.00,0.00,1.60,7.50,88.80,0.00,95.20,3.70,16.20,5.60,47.20,16.10,5.40,4.70,17.00,0.00,1.20,0.00,6.90,28.10,147692.00,25.30,0.00,2.90,30.90,59344.00,90150.00,84777.00,92.60,92.60,1.80,0.90,0.00,9.20,2114.00,95.30,1.30,21.50,2114.00,24,009,860200,0.00,4.10,0.00,0.00,2014.00,95.30,95.00,2.96,1.80,30.20,0.50,0.00,1.60,48.10,2740.00,1384.00,2.30,17.50,0.90,0.00,82.40,6087.00,4645,1,0.7631016921307705
54,"Census Tract 7009.01, Montgomery County, Maryland",4266.00,2296.00,962.00,11.80,58.10,1.85,2.74,6.50,0.00,0.00,0.00,4.20,6.70,82.20,2.50,51.70,42.60,5.30,3.70,61.80,10.20,9.00,5.40,27.30,0.00,13.10,4.50,11.80,9.80,114176.00,24.20,3.10,15.80,19.50,57670.00,73800.00,87656.00,80.80,80.80,4.50,5.80,0.00,0.00,2502.00,91.80,3.30,9.10,2502.00,24,031,700901,67.90,2.60,9.70,4.90,2296.00,37.00,1447.00,2.03,5.00,24.80,0.00,0.90,7.80,19.80,2382.00,1691.00,8.90,23.10,0.60,3.90,55.50,4266.00,169,1,0.039615564932020626
55,"Census Tract 7035.02, Montgomery County, Maryland",2836.00,1166.00,796.00,8.70,31.70,2.43,2.92,4.80,106.00,0.00,0.00,0.30,2.40,88.50,0.00,73.20,27.50,14.80,8.40,65.00,9.20,4.50,4.20,27.00,0.00,4.70,1.20,11.50,18.60,128013.00,27.20,1.40,13.10,20.40,64385.00,79875.00,77625.00,71.30,71.30,6.00,5.30,0.00,0.00,1207.00,96.60,2.10,0.00,1207.00,24,031,703502,5.90,0.00,0.00,0.60,1166.00,75.90,281.00,2.28,3.30,23.30,0.00,1.10,0.70,31.10,2178.00,-666666666.00,8.10,23.80,0.00,1.40,63.30,2836.00,142,1,0.05007052186177715
56,"Census Tract 1102, Baltimore city, Maryland",5706.00,3735.00,577.00,1.70,84.60,1.46,2.67,14.10,0.00,-666666666.00,-666666666.00,6.50,5.20,66.30,3.10,82.10,17.40,12.70,3.70,72.20,8.10,5.50,5.60,15.20,0.40,16.30,9.90,9.70,7.10,74978.00,20.80,3.80,13.20,29.30,45313.00,62137.00,47466.00,79.70,79.70,3.50,5.20,0.00,-666666666.00,4240.00,88.10,8.30,4.40,4240.00,24,510,110200,56.30,2.10,18.10,15.10,3735.00,14.00,3213.00,2.00,11.70,16.50,2.90,8.80,16.90,21.10,2076.00,1127.00,0.40,18.80,3.40,1.40,68.00,5706.00,72,3737,0.012618296529968454
57,"Census Tract 203, Baltimore city, Maryland",3877.00,2143.00,663.00,4.70,69.10,1.81,2.61,17.20,0.00,-666666666.00,-666666666.00,3.40,3.70,71.40,1.80,81.70,12.80,12.20,1.90,77.50,7.30,3.80,7.70,18.90,0.60,6.40,5.10,8.40,27.30,162827.00,9.50,2.40,5.60,52.20,72372.00,91504.00,66927.00,88.30,88.30,2.60,4.70,0.00,0.00,2549.00,84.10,0.00,16.20,2549.00,24,510,020300,43.30,3.70,8.10,3.30,2143.00,37.00,1350.00,2.13,11.30,17.80,0.00,0.00,5.80,16.60,2230.00,2060.00,4.60,11.70,0.50,4.30,88.00,3877.00,66,2621,0.017023471756512767
58,"Census Tract 1504, Baltimore city, Maryland",3983.00,1220.00,655.00,30.40,46.30,2.70,3.69,9.40,19.00,0.00,21.60,20.30,2.30,89.60,0.30,95.30,5.00,0.00,11.90,20.90,38.40,15.50,8.10,8.70,0.00,13.00,18.00,7.00,0.00,42382.00,37.60,8.20,37.40,0.00,20151.00,33375.00,28147.00,42.60,42.60,11.30,21.20,100.00,32.00,1781.00,68.50,0.00,6.50,1781.00,24,510,150400,5.20,0.00,0.00,2.40,1220.00,32.80,820.00,2.69,2.00,10.20,45.80,8.00,8.50,0.00,1167.00,936.00,1.90,17.40,0.50,0.00,3.30,3983.00,81,2452,0.020336429826763747
59,"Census Tract 102, Baltimore city, Maryland",2869.00,1393.00,567.00,2.10,59.30,2.06,2.70,17.90,27.00,0.00,0.00,3.30,1.80,80.40,0.20,91.70,8.90,25.20,1.40,73.80,3.30,3.70,13.10,16.00,0.00,2.90,1.60,14.40,8.10,118196.00,12.80,0.00,2.10,13.40,64673.00,76049.00,63920.00,90.40,90.40,2.50,1.80,0.00,-666666666.00,1494.00,93.20,2.10,3.00,1494.00,24,510,010200,7.40,0.00,4.10,1.30,1393.00,79.20,290.00,2.11,5.70,22.80,0.90,9.80,14.00,3.10,1763.00,1823.00,6.30,10.10,0.40,0.60,91.40,2869.00,35,1217,0.012199372603694667
60,"Census Tract 604, Baltimore city, Maryland",1376.00,761.00,228.00,8.70,70.00,1.81,3.07,10.40,0.00,0.00,0.00,6.40,5.80,76.30,1.60,85.30,21.80,9.20,2.10,60.50,16.70,4.40,6.80,12.70,0.00,12.40,12.10,6.60,6.30,94219.00,30.10,0.00,19.60,7.50,48636.00,72386.00,46776.00,73.80,73.80,5.50,2.20,0.00,0.00,885.00,86.00,7.90,6.60,885.00,24,510,060400,38.40,12.80,6.70,9.20,761.00,26.00,563.00,1.94,10.10,18.80,16.70,2.50,26.30,0.00,1354.00,1184.00,4.90,23.20,0.50,1.10,35.00,1376.00,43,2277,0.03125
61,"Census Tract 1604, Baltimore city, Maryland",2331.00,670.00,405.00,38.50,39.60,3.48,4.80,5.30,0.00,9.90,6.30,14.00,11.70,74.50,0.00,98.80,2.00,0.00,13.00,14.50,26.70,13.20,1.40,9.40,4.30,8.50,24.20,8.40,0.00,41551.00,33.60,3.30,53.10,0.00,22475.00,28125.00,30100.00,26.30,26.30,7.90,41.00,84.20,52.20,1711.00,39.20,15.30,17.30,1711.00,24,510,160400,0.60,0.00,0.00,2.00,670.00,41.30,393.00,2.47,3.60,20.40,31.40,4.30,3.20,2.90,864.00,1124.00,6.80,13.90,0.20,0.30,1.90,2331.00,40,1533,0.01716001716001716
62,"Census Tract 1607, Baltimore city, Maryland",4324.00,1506.00,933.00,35.30,38.00,2.87,3.74,6.00,12.00,12.10,23.50,13.90,7.70,90.90,0.00,96.30,0.50,0.00,14.30,25.50,37.40,10.00,4.70,5.60,0.70,11.90,12.40,5.30,1.50,45939.00,32.40,11.20,38.60,2.50,22192.00,46625.00,29375.00,38.60,38.60,6.10,26.60,30.00,49.70,2339.00,64.40,9.10,2.30,2339.00,24,510,160700,0.80,0.00,0.00,0.50,1506.00,42.50,866.00,2.68,7.30,22.60,69.40,3.40,6.70,1.90,1131.00,1093.00,5.90,15.70,0.00,0.00,0.60,4324.00,95,2458,0.02197039777983349
63,"Census Tract 1702, Baltimore city, Maryland",2971.00,1345.00,528.00,32.60,60.70,2.21,3.75,5.90,58.00,0.00,12.90,23.10,2.50,83.20,0.60,98.70,1.80,2.40,13.60,13.10,50.70,8.20,2.70,19.60,0.00,39.30,18.50,1.70,0.00,26855.00,29.70,6.10,53.50,0.00,15981.00,26401.00,27569.00,27.80,27.80,11.00,51.30,38.60,69.60,1793.00,75.00,0.00,11.00,1793.00,24,510,170200,34.10,0.00,4.10,11.20,1345.00,4.20,1288.00,4.65,8.00,16.10,12.30,28.10,43.90,0.00,-666666666.00,381.00,8.30,15.40,0.80,0.00,7.40,2971.00,49,2135,0.016492763379333558
64,"Census Tract 1801, Baltimore city, Maryland",2025.00,951.00,458.00,42.00,51.80,2.13,3.24,2.40,56.00,38.70,0.00,28.60,3.00,98.20,0.00,99.70,1.10,0.00,21.10,16.80,31.00,35.50,4.30,9.00,0.00,37.90,23.00,0.80,0.00,25172.00,26.60,12.90,66.00,0.00,17500.00,31538.00,18203.00,25.40,25.40,5.00,54.40,62.90,64.00,1053.00,90.30,0.00,5.60,1053.00,24,510,180100,13.40,0.50,0.00,1.10,951.00,9.70,859.00,1.96,0.00,41.40,15.20,44.60,16.30,0.00,1067.00,492.00,9.70,12.80,0.00,0.00,0.30,2025.00,34,1128,0.016790123456790124
65,"Census Tract 1803, Baltimore city, Maryland",1525.00,772.00,169.00,10.20,78.10,1.97,2.79,29.30,29.00,0.00,0.00,3.80,4.70,77.00,1.10,87.60,12.40,7.90,4.60,60.50,15.30,12.50,2.40,14.60,0.00,16.60,10.50,14.60,7.00,73236.00,12.80,7.40,14.00,6.50,32813.00,45417.00,43977.00,72.00,72.00,6.00,18.30,0.00,48.40,1123.00,68.70,15.70,14.10,1123.00,24,510,180300,0.00,0.00,4.40,4.00,772.00,36.10,493.00,1.94,4.10,19.20,3.90,14.00,40.50,0.00,1418.00,1082.00,2.20,4.30,0.80,0.40,41.20,1525.00,28,1503,0.018360655737704918
66,"Census Tract 2001, Baltimore city, Maryland",1833.00,604.00,386.00,45.40,36.10,2.99,4.06,1.20,28.00,23.80,21.40,17.60,2.60,92.50,0.30,96.70,0.60,0.40,12.00,12.30,38.90,10.00,3.20,12.30,0.00,28.10,7.30,11.90,1.20,36885.00,27.30,8.10,44.20,1.80,21435.00,25156.00,33417.00,37.20,37.20,9.40,31.90,-666666666.00,60.20,951.00,63.50,13.10,0.00,951.00,24,510,200100,0.00,0.00,1.40,0.00,604.00,33.40,402.00,2.82,3.10,23.20,46.00,6.90,7.90,5.00,1091.00,1102.00,2.90,13.40,0.00,0.00,1.90,1833.00,26,1265,0.014184397163120567
67,"Census Tract 1603, Baltimore city, Maryland",1090.00,392.00,216.00,37.80,44.90,2.38,3.30,4.70,217.00,0.00,19.40,31.10,0.00,90.20,0.00,97.00,1.10,0.00,16.50,18.90,21.00,0.00,3.40,6.90,0.00,26.30,19.90,4.30,3.30,79980.00,43.10,0.00,45.40,0.00,25441.00,46771.00,30156.00,31.60,31.60,5.30,42.10,100.00,69.20,820.00,47.80,0.00,3.20,820.00,24,510,160300,10.10,0.50,0.50,0.00,392.00,24.00,298.00,2.60,12.00,33.70,60.60,0.00,16.00,0.00,1016.00,867.00,5.40,24.90,0.00,1.00,6.00,1090.00,25,836,0.022935779816513763
68,"Census Tract 1207, Baltimore city, Maryland",2259.00,1038.00,376.00,6.60,63.80,2.17,3.01,20.50,10.00,0.00,0.00,8.40,3.40,73.70,1.60,90.10,7.80,10.00,11.60,47.20,23.20,2.50,1.90,12.80,0.30,6.00,4.10,15.20,0.00,72883.00,19.70,5.00,11.90,0.00,34534.00,46394.00,52557.00,67.90,67.90,8.50,2.40,0.00,0.00,1173.00,88.50,0.00,7.30,1173.00,24,510,120700,3.00,0.80,1.10,1.70,1038.00,55.90,458.00,2.04,2.80,25.00,29.70,9.70,14.50,0.00,1190.00,1274.00,4.80,10.80,1.10,0.80,74.40,2259.00,105,1481,0.04648074369189907
69,"Census Tract 1304, Baltimore city, Maryland",2056.00,777.00,368.00,20.70,52.60,2.63,3.67,14.00,33.00,0.00,22.20,9.90,6.10,91.90,0.10,96.10,4.60,0.80,16.10,23.90,28.10,11.40,7.50,11.50,0.00,13.30,17.50,7.50,3.10,51145.00,37.70,8.80,27.70,6.50,26518.00,38529.00,33448.00,39.00,39.00,6.20,25.00,0.00,73.00,1226.00,63.40,4.60,10.70,1226.00,24,510,130400,1.90,0.40,1.20,3.40,777.00,40.00,466.00,2.72,0.60,19.30,40.50,28.90,8.70,10.60,1302.00,1115.00,7.10,14.00,0.00,0.00,6.80,2056.00,261,1242,0.1269455252918288
